ProjectId,Project,ProjectType,ProjectCategory,City,Locality,SubLocality,Address,Landmark,Pincode,Configuration,BHK,PropertyCategory,PropertyType,PriceRaw,Price_INR,CarpetArea,Possession,Bathrooms,Balcony,ParkingType,FurnishedType,Lift,AgeOfProperty,Amenities,ProjectSummary,AboutProperty,MaintenanceCharges,FloorPlanImage,PropertyImages,Status,ProjectAge,ReraId,Slug
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,1BHK,1.0,RESIDENTIAL,1BHK,12000000,12000000.0,457.57,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210633-ec5431f188d4de3c.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210665-ab087e966ba018ff.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800049646\""]""]",luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,2BHK,2.0,RESIDENTIAL,2BHK,17000000,17000000.0,652.83,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210671-c54804f690eac296.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210672-3f6998fafc9e8521.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800049646\""]""]",luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,3BHK,3.0,RESIDENTIAL,3BHK,33000000,33000000.0,1240.22,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210681-7ca76e0e6739c3c1.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210682-37e9e8c4f43b5b32.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800049646\""]""]",luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861
cmfc79ip5001cvca0qht6o44p,Avenue 15,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,JBCN International School Parel,400015,1BHK,1.0,RESIDENTIAL,1BHK,9890000,9890000.0,416.56,Not Specified,1,0.0,,UNFURNISHED,False,,,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136185-abf1e76a1175f931.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-23bdb16c58a9e122.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51900032165\""]""]",avenue-15-ashoknagar-chembur-mumbai-140508
cmfc79ip5001cvca0qht6o44p,Avenue 15,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,JBCN International School Parel,400015,2BHK,2.0,RESIDENTIAL,2BHK,15000000,15000000.0,653.15,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-1ecea6707162bfe7.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136188-b404a27ba98528f4.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51900032165\""]""]",avenue-15-ashoknagar-chembur-mumbai-140508
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,COMMERCIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Infiniti Mall ,400099,Office,,COMMERCIAL,Office,5975000,5975000.0,239.0,Not Specified,1,,,UNFURNISHED,False,,,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417345-d65dfb1fd5d0d077.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-ede3eaf6864e2efa.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800017168\""]""]",swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya ,RESIDENTIAL,TOWNSHIP,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",R Mall,400080,2BHK,2.0,RESIDENTIAL,2BHK,8900000,8900000.0,637.76,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866053-185c21624393f002.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-3b21d5295d1b7bce.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800003669\""]""]",luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya ,RESIDENTIAL,TOWNSHIP,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",R Mall,400080,3BHK,3.0,RESIDENTIAL,3BHK,15000000,15000000.0,1090.59,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-66f1c36cd5370f62.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866055-12dde6891b923a80.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800003669\""]""]",luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766
cmfcccifs004nvca0b7im3r5a,Balaji Kanha	,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,64C5+C63 Dombivli East Dombivli Maharashtra 421301,Lodha Xperia Mall,421201,1BHK,1.0,RESIDENTIAL,1BHK,4190000,4190000.0,422.0,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672773-6523197b4bafe2f8.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672775-37d2dedeb898bfd3.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51700048490\""]""]",balaji-kanha--ashoknagar-chembur-mumbai-678207
cmfcccifs004nvca0b7im3r5a,Balaji Kanha	,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,64C5+C63 Dombivli East Dombivli Maharashtra 421301,Lodha Xperia Mall,421201,2BHK,2.0,RESIDENTIAL,2BHK,5770000,5770000.0,580.0,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-9c48211b8fc08a50.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-55a3d0d5d7d3bb44.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51700048490\""]""]",balaji-kanha--ashoknagar-chembur-mumbai-678207
